Soil Type,Previous Crop,Acre of Land,Rainfall Frequency,Porosity,Recommended Crop
Loamy,Corn,12,Medium,Medium,Corn
Clay,Cotton,9,Low,Low,Sunflower
Peaty,Flaxseed,6,Low,Medium,Sesame
Chalky,Peas,4,High,Medium,Barley
Chalky,Wheat,8,Medium,High,Flaxseed
Peaty,Sunflower,3,Medium,Low,Lentils
Clay,Corn,12,Medium,Low,Apple
Clay,Wheat,6,Medium,Low,Orange
Chalky,Wheat,14,Low,High,Flaxseed
Chalky,Mustard,5,Medium,High,Barley
Silty,Lentils,10,Low,Medium,Rice
Silty,Lentils,1,High,High,Tomato
Chalky,Corn,14,Medium,Low,Barley
Loamy,Wheat,19,Low,Medium,Sunflower
Clay,Cotton,15,High,Low,Spinach
Silty,Soybean,16,High,Low,Soybean
Chalky,Soybean,10,High,Low,Barley
Silty,Lentils,14,Low,Low,Soybean
Peaty,Corn,18,Medium,High,Soybean
Peaty,Tomato,5,Low,High,Sesame
Loamy,Corn,14,Low,Medium,Sunflower
Clay,Lentils,20,Medium,Low,Maize
Silty,Soybean,5,Medium,Low,Rice
Clay,Mustard,9,Medium,High,Coffee
Sandy,Soybean,15,High,High,Mustard
Loamy,Flaxseed,5,Low,High,Peas
Silty,Peas,3,Low,Medium,Soybean
Loamy,Sunflower,7,High,High,Sunflower
Loamy,Wheat,7,High,Low,Peas
Silty,Lentils,11,Medium,Medium,Tomato
Silty,Mustard,14,Low,Low,Rice
Clay,Tomato,10,Medium,Medium,Grapes
Chalky,Barley,16,Medium,Medium,Barley
Silty,Soybean,10,Low,Low,Rice
Loamy,Soybean,14,High,Medium,Peas
Sandy,Corn,11,Low,Medium,Millets
Silty,Wheat,9,High,Low,Rice
Chalky,Soybean,2,Medium,Low,Flaxseed
Silty,Lentils,11,Low,Medium,Rice
Chalky,Lentils,18,Medium,High,Flaxseed
Peaty,Corn,9,Medium,High,Sesame
Clay,Corn,11,High,Medium,Mustard
Chalky,Mustard,2,Medium,Medium,Barley
Chalky,Maize,9,Low,Low,Barley
Silty,Lentils,7,High,Medium,Soybean
Chalky,Corn,19,Low,High,Oats
Sandy,Sunflower,17,High,High,Cotton
Sandy,Lentils,20,High,Medium,Millets
Chalky,Flaxseed,18,High,Medium,Flaxseed
Chalky,Mustard,3,Low,High,Oats
Chalky,Flaxseed,3,Medium,Medium,Barley
Silty,Tomato,6,Low,High,Soybean
Chalky,Flaxseed,18,High,Low,Oats
Loamy,Sesame,6,Medium,Medium,Corn
Silty,Wheat,2,High,High,Soybean
Peaty,Corn,5,Low,High,Sesame
Clay,Corn,13,Medium,High,Pumpkin
Chalky,Wheat,12,Low,High,Flaxseed
Silty,Mustard,1,Medium,Low,Soybean
Chalky,Soybean,14,Low,Medium,Barley
Chalky,Rice,15,Medium,Low,Oats
Chalky,Cotton,1,High,Medium,Barley
Loamy,Lentils,1,High,Medium,Sunflower
Chalky,Sunflower,19,Medium,Low,Oats
Sandy,Peas,11,Low,Medium,Cotton
Chalky,Barley,10,High,Medium,Flaxseed
Clay,Chickpea,19,Medium,Low,Mustard
Clay,Tomato,3,Low,Medium,Flaxseed
Clay,Lentils,6,High,High,Sugarcane
Loamy,Mustard,8,Low,Low,Peas
Silty,Mustard,19,Medium,Medium,Tomato
Sandy,Lentils,10,Medium,High,Millets
Sandy,Flaxseed,14,Low,Medium,Cotton
Sandy,Wheat,18,Low,Low,Millets
Silty,Sugarcane,10,Medium,High,Tomato
Chalky,Sugarcane,5,Low,High,Flaxseed
Chalky,Lentils,18,Low,Low,Oats
Peaty,Sugarcane,4,High,High,Soybean
Chalky,Tomato,9,Low,Low,Barley
Loamy,Soybean,20,High,Medium,Sunflower
Silty,Corn,16,High,Medium,Tomato
Peaty,Soybean,3,Low,Low,Sesame
Peaty,Rice,7,Medium,High,Soybean
Sandy,Flaxseed,12,High,Medium,Millets
Peaty,Peas,8,Low,High,Lentils
Peaty,Flaxseed,15,Medium,Medium,Sesame
Chalky,Corn,8,Low,High,Barley
Silty,Chickpea,2,Medium,High,Tomato
Sandy,Corn,4,High,High,Cotton
Clay,Sunflower,13,High,Medium,Grapes
Silty,Millets,2,High,Low,Soybean
Loamy,Sesame,8,High,High,Peas
Clay,Lentils,1,Low,Medium,Peas
Peaty,Sesame,16,Medium,High,Lentils
Peaty,Sunflower,19,Medium,High,Lentils
Peaty,Soybean,1,Medium,High,Lentils
Loamy,Sesame,7,Low,High,Corn
Silty,Wheat,19,High,Low,Soybean
Chalky,Mustard,20,Medium,High,Oats
Clay,Chickpea,9,Medium,Medium,Tomato
Loamy,Barley,1,Medium,Low,Sunflower
Silty,Barley,14,Low,Low,Tomato
Sandy,Tomato,16,High,Low,Millets
Clay,Cotton,3,High,Medium,Millets
Peaty,Flaxseed,13,Low,Low,Lentils
Loamy,Soybean,5,Low,High,Corn
Clay,Rice,6,High,High,Garlic
Clay,Tomato,20,High,Medium,Barley
Clay,Soybean,7,High,Low,Oats
Clay,Corn,12,Low,Low,Carrot
Sandy,Lentils,1,High,Low,Mustard
Chalky,Lentils,6,Low,Low,Oats
Silty,Peas,6,Low,High,Tomato
Silty,Flaxseed,2,Medium,High,Tomato
Clay,Rice,17,Low,High,Cotton
Loamy,Tomato,9,Low,High,Peas
Loamy,Soybean,19,Low,Medium,Corn
Sandy,Flaxseed,16,High,Medium,Millets
Silty,Lentils,18,High,Medium,Rice
Silty,Mustard,8,Low,High,Tomato
Chalky,Maize,20,Medium,Low,Barley
Peaty,Corn,10,Low,High,Soybean
Loamy,Chickpea,7,Medium,High,Corn
Loamy,Mustard,6,High,High,Sunflower
Loamy,Tomato,8,High,High,Peas
Clay,Chickpea,11,Medium,Low,Flaxseed
Chalky,Sesame,13,High,Low,Flaxseed
Peaty,Sesame,1,Low,Low,Sesame
Sandy,Flaxseed,13,Medium,Medium,Millets
Chalky,Chickpea,19,High,High,Flaxseed
Peaty,Corn,20,High,Medium,Soybean
Sandy,Sugarcane,10,Medium,Medium,Mustard
Silty,Rice,14,High,High,Rice
Loamy,Mustard,2,High,Medium,Corn
Sandy,Tomato,13,Medium,High,Cotton
Sandy,Soybean,13,Medium,Low,Millets
Sandy,Tomato,2,High,Medium,Millets
Sandy,Soybean,11,Medium,Medium,Cotton
Loamy,Barley,20,High,Medium,Corn
Peaty,Soybean,2,Low,Low,Soybean
Silty,Soybean,16,Low,Low,Tomato
Clay,Soybean,3,Low,High,Orange
Clay,Lentils,9,Medium,Low,Onion
Loamy,Flaxseed,12,Medium,High,Peas
Chalky,Flaxseed,4,Low,Low,Barley
Clay,Lentils,2,Medium,Medium,Soybean
Sandy,Cotton,19,Low,Low,Mustard
Loamy,Wheat,11,High,Low,Corn
Silty,Barley,13,Low,Medium,Tomato
Chalky,Barley,17,Low,Low,Flaxseed
Silty,Lentils,15,High,Medium,Rice
Peaty,Wheat,14,Medium,Medium,Soybean
Clay,Soybean,14,Medium,Low,Tea
Loamy,Corn,10,Medium,High,Corn
Chalky,Tomato,10,Low,Low,Barley
Clay,Sesame,3,High,Low,Orange
Clay,Mustard,12,High,High,Rice
Silty,Sunflower,1,Low,Low,Rice
Loamy,Chickpea,6,Medium,Low,Corn
Silty,Chickpea,4,Low,Medium,Tomato
Peaty,Soybean,9,Medium,Low,Soybean
Sandy,Sesame,18,High,High,Millets
Sandy,Tomato,8,Low,Low,Cotton
Chalky,Lentils,19,Medium,High,Flaxseed
Clay,Peas,5,High,Low,Banana
Peaty,Rice,9,Medium,Low,Sesame
Clay,Wheat,16,High,Medium,Spinach
Loamy,Lentils,18,Low,Medium,Peas
Silty,Maize,4,Low,High,Tomato
Clay,Tomato,3,Low,Low,Soybean
Clay,Cotton,15,Low,Medium,Onion
Silty,Millets,15,Medium,High,Soybean
Sandy,Millets,13,High,Low,Millets
Sandy,Corn,13,Low,Low,Millets
Loamy,Chickpea,5,Low,Medium,Sunflower
Clay,Soybean,10,Medium,High,Cotton
Loamy,Sesame,20,Low,Low,Sunflower
Sandy,Millets,3,Medium,Low,Millets
Clay,Lentils,20,High,Medium,Cotton
Silty,Chickpea,11,Medium,Medium,Rice
Sandy,Flaxseed,19,Low,Medium,Mustard
Sandy,Lentils,16,Medium,High,Cotton
Silty,Millets,13,Medium,Low,Soybean
Silty,Corn,6,Medium,Medium,Tomato
Sandy,Sugarcane,3,High,Low,Cotton
Peaty,Tomato,18,Medium,High,Lentils
Chalky,Sugarcane,2,Low,Low,Flaxseed
Sandy,Flaxseed,10,High,High,Mustard
Sandy,Sesame,1,Low,High,Cotton
Sandy,Rice,14,Medium,High,Cotton
Peaty,Mustard,14,Medium,High,Lentils
Peaty,Barley,5,Medium,Medium,Soybean
Peaty,Soybean,17,Low,Low,Soybean
Peaty,Sesame,12,Medium,Medium,Lentils
Sandy,Cotton,13,Low,Medium,Millets
Peaty,Mustard,11,Low,Medium,Lentils
Silty,Sesame,6,Low,High,Rice
Peaty,Tomato,19,Low,High,Sesame
Clay,Soybean,3,Low,High,Chickpea
Clay,Mustard,9,Low,Low,Sesame
Sandy,Wheat,17,High,Low,Cotton
Sandy,Peas,8,High,Medium,Cotton
Loamy,Mustard,2,High,High,Peas
Silty,Lentils,12,High,Low,Soybean
Peaty,Barley,20,Medium,High,Sesame
Sandy,Sugarcane,1,High,High,Millets
Peaty,Rice,13,High,High,Sesame
Silty,Barley,20,Medium,Medium,Tomato
Sandy,Rice,2,Medium,Low,Cotton
Sandy,Maize,15,Medium,High,Cotton
Loamy,Flaxseed,6,Medium,High,Peas
Sandy,Wheat,3,High,Medium,Cotton
Silty,Tomato,7,Medium,Low,Soybean
Peaty,Lentils,17,High,High,Lentils
Peaty,Barley,18,High,Medium,Lentils
Chalky,Corn,13,Medium,Low,Flaxseed
Loamy,Mustard,13,Medium,High,Corn
Peaty,Tomato,20,High,Medium,Soybean
Chalky,Tomato,13,High,Low,Barley
Chalky,Chickpea,19,Low,Low,Oats
Sandy,Sesame,16,High,Medium,Mustard
Peaty,Mustard,8,Low,Medium,Soybean
Loamy,Flaxseed,10,Low,Medium,Sunflower
Chalky,Lentils,5,High,Medium,Flaxseed
Loamy,Lentils,3,Medium,Medium,Sunflower
Peaty,Soybean,5,Low,Low,Lentils
Clay,Rice,3,Low,Low,Tea
Chalky,Mustard,8,High,Medium,Oats
Sandy,Wheat,18,High,Low,Mustard
Loamy,Rice,14,High,Medium,Sunflower
Peaty,Rice,18,Medium,Medium,Sesame
Clay,Flaxseed,5,High,Medium,Millets
Sandy,Mustard,9,Low,High,Millets
Clay,Lentils,17,Medium,High,Carrot
Loamy,Soybean,8,Medium,Low,Sunflower
Peaty,Mustard,18,Medium,Low,Sesame
Peaty,Corn,1,Low,High,Soybean
Peaty,Soybean,12,High,High,Soybean
Loamy,Peas,20,Medium,Medium,Peas
Chalky,Sesame,20,Low,High,Oats
Chalky,Soybean,16,Medium,Low,Oats
Chalky,Flaxseed,18,Medium,Low,Flaxseed
Loamy,Soybean,9,High,Low,Peas
Peaty,Corn,19,Medium,Medium,Soybean
Loamy,Soybean,14,High,Medium,Corn
Sandy,Millets,3,High,High,Mustard
Sandy,Corn,20,Low,High,Millets
Peaty,Rice,16,Low,Medium,Soybean
Peaty,Soybean,16,Medium,Medium,Sesame
Peaty,Barley,17,High,Low,Sesame
Chalky,Corn,10,Low,High,Flaxseed
Silty,Soybean,18,High,High,Tomato
Silty,Wheat,8,High,Low,Soybean
Silty,Wheat,3,High,High,Rice
Clay,Mustard,6,High,High,Potato
Sandy,Mustard,8,High,Medium,Mustard
Loamy,Flaxseed,13,High,High,Sunflower
Sandy,Soybean,15,Medium,High,Mustard
Peaty,Barley,5,High,Low,Lentils
Loamy,Lentils,18,Low,Medium,Corn
Peaty,Lentils,18,Medium,Low,Lentils
Clay,Mustard,14,Medium,Low,Barley
Clay,Flaxseed,20,Medium,Low,Mustard
Loamy,Corn,9,Low,Medium,Sunflower
Peaty,Lentils,17,High,High,Sesame
Chalky,Sunflower,14,Medium,Low,Oats
Loamy,Peas,17,Low,Low,Sunflower
Loamy,Peas,11,Low,High,Sunflower
Peaty,Mustard,13,Low,Medium,Lentils
Clay,Corn,7,Medium,Medium,Soybean
Silty,Soybean,3,Low,High,Rice
Loamy,Corn,14,Medium,Low,Corn
Sandy,Rice,9,Medium,Low,Mustard
Peaty,Soybean,8,High,High,Soybean
Sandy,Lentils,11,Low,Medium,Mustard
Loamy,Sugarcane,2,Medium,Medium,Sunflower
Peaty,Tomato,2,High,High,Lentils
Silty,Corn,13,Medium,Low,Rice
Chalky,Lentils,18,Low,Medium,Flaxseed
Loamy,Peas,6,Medium,Medium,Sunflower
Peaty,Maize,15,Low,Medium,Sesame
Sandy,Peas,4,Low,High,Cotton
Chalky,Sugarcane,14,Low,Low,Oats
Chalky,Mustard,19,Medium,Low,Barley
Clay,Peas,1,Low,Low,Coffee
Silty,Millets,18,High,High,Rice
Loamy,Mustard,19,High,Medium,Sunflower
Sandy,Tomato,10,Medium,Medium,Millets
Loamy,Corn,9,High,High,Peas
Loamy,Soybean,16,High,Medium,Sunflower
Chalky,Cotton,3,Low,Medium,Flaxseed
Sandy,Corn,13,Medium,Low,Millets
Loamy,Sunflower,15,High,High,Peas
Loamy,Tomato,9,Low,Medium,Peas
Silty,Chickpea,1,Low,Low,Soybean
Clay,Lentils,20,Medium,Medium,Oats
Clay,Flaxseed,11,Low,Medium,Brinjal
Clay,Wheat,5,High,Low,Soybean
Chalky,Corn,7,Medium,High,Oats
Clay,Mustard,8,Low,Medium,Potato
Peaty,Sesame,5,Low,Medium,Lentils
Clay,Peas,9,Medium,Medium,Onion
Chalky,Lentils,17,Medium,Low,Oats
Clay,Soybean,11,Medium,Low,Mustard
Peaty,Mustard,10,High,Low,Soybean
Sandy,Soybean,14,Medium,Low,Millets
Silty,Peas,15,Medium,Medium,Tomato
Silty,Corn,20,Medium,High,Soybean
Clay,Chickpea,14,Low,Medium,Sesame
Sandy,Soybean,12,Medium,Medium,Mustard
Loamy,Tomato,2,High,High,Peas
Chalky,Mustard,10,Low,Low,Barley
Chalky,Mustard,2,Low,Medium,Barley
Clay,Lentils,12,Low,Medium,Rice
Sandy,Soybean,16,Low,High,Cotton
Peaty,Millets,2,High,High,Lentils
Silty,Millets,9,High,Medium,Soybean
Chalky,Soybean,10,Medium,High,Oats
Clay,Rice,3,Medium,Medium,Corn
Peaty,Tomato,4,Medium,High,Sesame
Loamy,Soybean,4,High,Low,Sunflower
Clay,Corn,10,High,High,Maize
Loamy,Mustard,13,Low,Medium,Corn
Silty,Chickpea,14,Medium,High,Tomato
Loamy,Sunflower,5,Medium,Low,Sunflower
Loamy,Corn,4,High,Low,Sunflower
Peaty,Corn,14,Medium,Medium,Sesame
Clay,Chickpea,4,Medium,Low,Orange
Peaty,Peas,5,Medium,Low,Sesame
Peaty,Peas,13,Medium,Medium,Lentils
Clay,Lentils,2,Low,High,Sunflower
Peaty,Tomato,20,Low,High,Sesame
Clay,Soybean,14,Low,High,Garlic
Sandy,Chickpea,7,Medium,High,Mustard
Loamy,Corn,16,High,High,Sunflower
Sandy,Millets,7,High,Medium,Cotton
Peaty,Cotton,9,Low,Medium,Sesame
Silty,Tomato,14,Medium,High,Tomato
Peaty,Sunflower,3,Medium,Low,Sesame
Silty,Sunflower,15,Medium,Low,Tomato
Sandy,Soybean,20,High,High,Mustard
Sandy,Soybean,1,High,Low,Cotton
Sandy,Flaxseed,17,Low,Medium,Millets
Loamy,Millets,12,High,Medium,Corn
Clay,Corn,19,Low,Low,Coffee
Silty,Lentils,1,Low,High,Tomato
Clay,Rice,12,High,Medium,Peas
Chalky,Corn,13,High,High,Oats
Loamy,Cotton,12,High,High,Sunflower
Clay,Sesame,15,Medium,Medium,Corn
Chalky,Chickpea,15,High,Low,Flaxseed
Sandy,Soybean,20,High,Medium,Millets
Clay,Sesame,18,High,Low,Sesame
Silty,Soybean,5,Low,Medium,Rice
Silty,Soybean,15,Medium,Medium,Tomato
Clay,Mustard,11,High,Low,Cabbage
Silty,Wheat,14,Low,High,Soybean
Chalky,Chickpea,13,Low,Low,Barley
Silty,Lentils,9,Low,Medium,Soybean
Chalky,Soybean,4,Medium,High,Flaxseed
Silty,Sunflower,14,Medium,Medium,Soybean
Loamy,Barley,1,Low,Medium,Corn
Silty,Corn,16,Low,Low,Tomato
Clay,Soybean,20,Low,High,Sugarcane
Sandy,Sunflower,13,Medium,High,Mustard
Chalky,Lentils,12,Low,High,Barley
Loamy,Soybean,6,High,High,Sunflower
Sandy,Sugarcane,18,High,Low,Millets
Clay,Rice,4,Low,High,Lentils
Clay,Sunflower,4,Medium,Medium,Wheat
Loamy,Chickpea,20,Low,High,Sunflower
Sandy,Soybean,12,Low,Low,Millets
Sandy,Corn,7,Low,High,Mustard
Silty,Mustard,11,Medium,High,Tomato
Sandy,Peas,11,High,Medium,Cotton
Clay,Mustard,2,Low,Medium,Peas
Silty,Corn,9,Medium,High,Soybean
Peaty,Corn,18,Medium,High,Soybean
Silty,Wheat,13,Medium,Low,Rice
Chalky,Sesame,13,High,High,Barley
Sandy,Soybean,6,Medium,Low,Mustard
Loamy,Peas,7,Low,Medium,Sunflower
Clay,Soybean,18,Medium,Low,Orange
Peaty,Mustard,5,High,Medium,Sesame
Clay,Mustard,16,Low,High,Corn
Loamy,Sunflower,6,High,High,Sunflower
Clay,Soybean,7,Low,High,Banana
Chalky,Tomato,9,High,Medium,Oats
Peaty,Flaxseed,1,High,Medium,Soybean
Loamy,Soybean,9,Low,High,Sunflower
Clay,Tomato,20,Low,Medium,Garlic
Chalky,Flaxseed,19,Medium,High,Barley
Loamy,Rice,18,Medium,Medium,Sunflower
Peaty,Barley,11,Medium,Medium,Soybean
Peaty,Soybean,4,High,Low,Lentils
Loamy,Soybean,9,High,Low,Peas
Clay,Sugarcane,1,Medium,Low,Garlic
Clay,Barley,16,Low,Low,Chickpea
Sandy,Lentils,19,Medium,Low,Millets
Silty,Barley,17,High,High,Soybean
Sandy,Chickpea,16,High,High,Mustard
Clay,Flaxseed,19,Low,Low,Maize
Peaty,Soybean,20,Low,Medium,Soybean
Silty,Cotton,12,High,Low,Tomato
Sandy,Maize,12,Low,High,Mustard
Peaty,Soybean,3,High,Low,Sesame
Sandy,Soybean,4,High,Low,Cotton
Clay,Tomato,7,High,Low,Mustard
Peaty,Millets,4,Low,High,Lentils
Silty,Sunflower,14,Medium,High,Tomato
Peaty,Sesame,13,Medium,High,Sesame
Peaty,Soybean,1,High,Medium,Sesame
Sandy,Mustard,17,Low,Medium,Millets
Loamy,Maize,5,Low,Low,Sunflower
Sandy,Corn,11,Low,Medium,Mustard
Sandy,Tomato,18,Medium,High,Millets
Sandy,Mustard,9,High,Low,Millets
Loamy,Soybean,6,High,Medium,Sunflower
Chalky,Chickpea,13,Low,Medium,Flaxseed
Sandy,Sunflower,13,High,High,Mustard
Sandy,Wheat,4,Medium,High,Mustard
Clay,Lentils,11,High,Medium,Tomato
Sandy,Tomato,8,Medium,Medium,Cotton
Silty,Sugarcane,11,Medium,Low,Tomato
Loamy,Lentils,18,Medium,Medium,Corn
Chalky,Wheat,13,Medium,High,Barley
Peaty,Sesame,7,High,Low,Lentils
Loamy,Tomato,16,High,High,Peas
Peaty,Peas,4,High,Medium,Lentils
Peaty,Lentils,17,Low,Low,Soybean
Loamy,Mustard,8,Medium,High,Corn
Peaty,Corn,11,High,Low,Soybean
Chalky,Peas,1,High,High,Flaxseed
Peaty,Tomato,18,Low,Low,Lentils
Silty,Corn,7,Low,High,Rice
Silty,Soybean,12,High,High,Rice
Clay,Sugarcane,10,Low,High,Sunflower
Peaty,Mustard,7,Medium,High,Lentils
Chalky,Corn,8,Medium,Medium,Barley
Sandy,Millets,15,Medium,Low,Millets
Clay,Tomato,13,High,Low,Brinjal
Silty,Sesame,12,Medium,High,Soybean
Silty,Barley,15,Low,Medium,Soybean
Peaty,Flaxseed,8,High,Medium,Lentils
Chalky,Corn,19,Medium,Low,Barley
Peaty,Flaxseed,16,Medium,Medium,Soybean
Peaty,Wheat,9,Medium,Low,Soybean
Loamy,Lentils,18,Low,Medium,Peas
Peaty,Sugarcane,7,Medium,High,Soybean
Peaty,Sugarcane,2,High,Medium,Lentils
Sandy,Chickpea,14,Low,High,Mustard
Silty,Soybean,10,Low,Medium,Tomato
Sandy,Lentils,7,High,High,Millets
Loamy,Soybean,6,High,Low,Peas
Clay,Millets,6,High,Low,Oats
Silty,Mustard,14,Low,High,Soybean
Clay,Soybean,18,Medium,High,Cabbage
Clay,Lentils,4,Medium,Medium,Tomato
Sandy,Mustard,16,Low,Medium,Mustard
Sandy,Sugarcane,15,Medium,High,Cotton
Clay,Chickpea,9,Medium,Medium,Sesame
Peaty,Sugarcane,11,High,Medium,Lentils
Chalky,Peas,11,High,Low,Oats
Loamy,Sugarcane,7,Low,High,Sunflower
Loamy,Maize,16,High,Medium,Corn
Clay,Barley,18,High,Low,Banana
Chalky,Sesame,1,Medium,Low,Flaxseed
Silty,Flaxseed,11,Low,Medium,Soybean
Silty,Barley,7,Medium,Medium,Soybean
Silty,Mustard,2,Low,Medium,Rice
Loamy,Wheat,2,Medium,High,Peas
Chalky,Lentils,8,High,Low,Flaxseed
Sandy,Maize,16,High,Low,Mustard
Silty,Sunflower,7,Low,High,Soybean
Loamy,Sugarcane,13,High,Low,Corn
Chalky,Chickpea,2,High,Medium,Barley
Loamy,Soybean,3,High,Medium,Corn
Chalky,Sunflower,19,High,High,Oats
Clay,Barley,12,Low,High,Flaxseed
Silty,Soybean,3,Medium,Medium,Rice
Clay,Peas,10,Medium,High,Cabbage
Peaty,Rice,13,Medium,Low,Lentils
Peaty,Flaxseed,2,High,Low,Soybean
Clay,Lentils,16,High,High,Flaxseed
Silty,Soybean,16,High,Medium,Rice
Peaty,Soybean,18,High,Low,Sesame
Silty,Wheat,20,Medium,Low,Tomato
Sandy,Soybean,15,Low,Medium,Mustard
Sandy,Corn,5,Low,Low,Cotton
Chalky,Corn,3,Medium,High,Barley
Peaty,Corn,8,High,High,Soybean
Clay,Lentils,13,High,High,Groundnut
Chalky,Soybean,4,Medium,High,Barley
Loamy,Soybean,13,High,High,Peas
Clay,Mustard,16,Low,Low,Banana
Sandy,Lentils,18,Medium,Low,Cotton
Clay,Cotton,11,Medium,Medium,Onion
Loamy,Soybean,18,Low,High,Sunflower
Chalky,Soybean,4,Low,Medium,Oats
Clay,Lentils,13,Medium,High,Carrot
Chalky,Mustard,5,High,Medium,Oats
Peaty,Corn,7,Low,High,Lentils
Chalky,Sesame,4,Medium,Low,Flaxseed
Peaty,Maize,3,High,Low,Sesame
Sandy,Mustard,11,Medium,Low,Millets
Peaty,Lentils,5,Medium,Medium,Soybean
Sandy,Soybean,11,Low,High,Millets
Chalky,Peas,10,Medium,Low,Oats
Loamy,Mustard,3,Low,Low,Peas
Peaty,Chickpea,20,High,Low,Soybean
Loamy,Barley,10,Medium,Medium,Sunflower
Peaty,Peas,12,Medium,Low,Lentils
Sandy,Sugarcane,10,Medium,High,Cotton
Sandy,Tomato,2,High,High,Cotton
Clay,Mustard,13,Medium,Medium,Tea
Clay,Wheat,15,Medium,Low,Chickpea
Clay,Rice,16,Low,High,Groundnut
Sandy,Sesame,5,High,Low,Mustard
Silty,Mustard,4,Medium,Low,Soybean
Chalky,Lentils,1,Medium,High,Flaxseed
Clay,Rice,1,Low,Medium,Barley
Sandy,Mustard,17,High,Medium,Cotton
Sandy,Peas,17,Medium,Medium,Mustard
Peaty,Lentils,12,Low,Low,Lentils
Loamy,Maize,10,Low,Medium,Sunflower
Loamy,Flaxseed,2,High,Low,Sunflower
Loamy,Wheat,14,Medium,Low,Corn
Sandy,Sugarcane,2,High,Low,Mustard
Loamy,Mustard,7,Low,Low,Sunflower
Sandy,Millets,14,High,High,Cotton
Peaty,Wheat,18,High,High,Soybean
Sandy,Lentils,11,Medium,High,Cotton
Clay,Cotton,11,Medium,High,Groundnut
Silty,Maize,3,Low,Medium,Rice
Chalky,Chickpea,13,Low,High,Oats
Clay,Wheat,2,Medium,Medium,Sesame
Loamy,Sugarcane,15,Low,Low,Sunflower
Silty,Wheat,16,High,Medium,Tomato
Sandy,Lentils,10,Medium,Medium,Mustard
Chalky,Lentils,18,High,Medium,Barley
Clay,Wheat,20,Medium,Medium,Rice
Clay,Flaxseed,18,High,High,Sugarcane
Silty,Tomato,18,Low,High,Soybean
Silty,Corn,19,High,Medium,Tomato
Chalky,Peas,2,Medium,High,Flaxseed
Loamy,Tomato,3,Medium,Low,Sunflower
Silty,Lentils,16,High,Medium,Tomato
Clay,Lentils,2,Low,Medium,Spinach
Sandy,Soybean,2,Medium,Low,Cotton
Peaty,Lentils,3,Low,Medium,Lentils
Loamy,Soybean,3,High,Low,Sunflower
Peaty,Flaxseed,10,Low,Medium,Soybean
Peaty,Sesame,1,Medium,High,Sesame
Peaty,Wheat,9,Low,Medium,Soybean
Clay,Corn,5,Low,High,Banana
Peaty,Barley,9,Medium,Low,Sesame
Silty,Rice,11,Low,High,Soybean
Loamy,Tomato,2,Medium,Medium,Peas
Peaty,Sesame,1,High,Medium,Lentils
Silty,Mustard,8,Low,Medium,Tomato
Sandy,Barley,7,Medium,Low,Cotton
Sandy,Sunflower,12,High,Medium,Millets
Chalky,Chickpea,17,Medium,Medium,Flaxseed
Silty,Rice,19,High,Medium,Soybean
Clay,Tomato,1,Medium,Low,Pumpkin
Loamy,Tomato,2,Medium,Low,Sunflower
Peaty,Sunflower,10,Low,High,Soybean
Chalky,Soybean,1,Low,Low,Flaxseed
Clay,Wheat,18,Medium,Low,Corn
Silty,Sunflower,15,High,Medium,Soybean
Loamy,Wheat,14,High,Low,Peas
Clay,Barley,2,High,Medium,Millets
Chalky,Lentils,7,High,High,Flaxseed
Chalky,Soybean,13,Medium,Medium,Barley
Peaty,Corn,19,High,Medium,Soybean
Clay,Tomato,8,High,Medium,Grapes
Clay,Mustard,11,Low,Medium,Cabbage
Sandy,Chickpea,19,Low,High,Mustard
Clay,Lentils,14,Low,High,Sugarcane
Sandy,Corn,4,Medium,Medium,Cotton
Sandy,Tomato,19,High,High,Millets
Peaty,Barley,18,Low,High,Soybean
Clay,Soybean,11,Low,High,Tomato
Clay,Maize,10,High,Medium,Chickpea
Silty,Chickpea,6,Low,High,Tomato
Clay,Flaxseed,8,Low,Medium,Spinach
Chalky,Soybean,1,High,High,Oats
Clay,Tomato,12,High,Medium,Peas
Chalky,Sesame,8,High,Low,Oats
Loamy,Flaxseed,12,Low,High,Sunflower
Clay,Maize,19,High,Medium,Onion
Chalky,Barley,13,Medium,Low,Flaxseed
Clay,Sugarcane,4,Medium,High,Chickpea
Sandy,Lentils,8,High,Medium,Cotton
Peaty,Chickpea,11,High,High,Sesame
Chalky,Mustard,11,Medium,Medium,Flaxseed
Sandy,Wheat,19,Medium,Low,Millets
Silty,Corn,4,Medium,Medium,Tomato
Silty,Soybean,20,High,Low,Tomato
Chalky,Soybean,8,High,Medium,Barley
Clay,Corn,4,Low,High,Carrot
Sandy,Lentils,5,Low,High,Mustard
Clay,Lentils,8,Low,Medium,Chickpea
Loamy,Tomato,4,Low,High,Peas
Clay,Corn,12,High,Low,Soybean
Sandy,Wheat,2,Low,Medium,Cotton
Loamy,Tomato,8,High,Medium,Sunflower
Chalky,Soybean,9,High,High,Flaxseed
Chalky,Tomato,1,High,Medium,Flaxseed
Loamy,Sugarcane,2,High,High,Corn
Loamy,Corn,13,High,High,Corn
Sandy,Sesame,1,Low,Low,Cotton
Peaty,Lentils,10,Medium,Medium,Soybean
Silty,Cotton,1,Low,Medium,Soybean
Sandy,Sesame,20,Medium,Low,Mustard
Sandy,Cotton,13,High,High,Mustard
Peaty,Mustard,18,Medium,High,Sesame
Chalky,Maize,16,Low,High,Barley
